Göç Veren İl,Aldığı Göç (Kişi),Verdiği Göç (Kişi),Net Göç,Hedef_Il,Guncelleme_Tarihi
İstanbul,12450,8300,4150,KAYSERİ,2026-08-06 08:17
Ankara,8900,6100,2800,KAYSERİ,2026-08-06 08:17
İzmir,4200,3100,1100,KAYSERİ,2026-08-06 08:17
Adana,3800,2900,900,KAYSERİ,2026-08-06 08:17
Sivas,3500,4100,-600,KAYSERİ,2026-08-06 08:17
Kahramanmaraş,3100,2800,300,KAYSERİ,2026-08-06 08:17
Yozgat,2900,3200,-300,KAYSERİ,2026-08-06 08:17
Mersin,2600,2100,500,KAYSERİ,2026-08-06 08:17
Niğde,2400,1900,500,KAYSERİ,2026-08-06 08:17
Kırşehir,2100,1800,300,KAYSERİ,2026-08-06 08:17
