İl,Kategori,Gösterge,Değer
KAYSERİ,NÜFUS,Toplam,1.458.991
KAYSERİ,NÜFUS,Erkek,728.836
KAYSERİ,NÜFUS,Kadın,730.155
KAYSERİ,NÜFUS,Ortanca Yaş,"34,9"
KAYSERİ,NÜFUS,Nüfus Yoğunluğu,"85,3"
KAYSERİ,NÜFUS,Nüfus Artış Hızı(Binde),"4,5"
KAYSERİ,NÜFUS,Yabancı Nüfus,16.408
KAYSERİ,NÜFUS,Yurtdışı Doğumlu Nüfus,30.270
KAYSERİ,İÇ GÖÇ / ULUSLARARASI GÖÇ,Diğer İllerden Aldığı Göç,38.374
KAYSERİ,İÇ GÖÇ / ULUSLARARASI GÖÇ,Diğer İllere Verdiği Göç,38.902
KAYSERİ,İÇ GÖÇ / ULUSLARARASI GÖÇ,Diğer Ülkelerden Aldığı Göç,3.661
KAYSERİ,İÇ GÖÇ / ULUSLARARASI GÖÇ,Diğer Ülkelere Verdiği Göç,4.907
KAYSERİ,HANEHALKI NİTELİKLERİ,Toplam Hanehalkı Sayısı,456.415
KAYSERİ,HANEHALKI NİTELİKLERİ,Ortalama Hanehalkı Büyüklüğü,"3,1"
KAYSERİ,HANEHALKI NİTELİKLERİ,Tek Kişilik,79.382
KAYSERİ,HANEHALKI NİTELİKLERİ,Tek Çekirdek Aileden Oluşan,316.365
KAYSERİ,HANEHALKI NİTELİKLERİ,Geniş Aileden Oluşan,51.405
KAYSERİ,HANEHALKI NİTELİKLERİ,Çekirdek Aile Bulunmayan,9.263
KAYSERİ,MEDENİ DURUM,Hiç Evlenmedi,312.508
KAYSERİ,MEDENİ DURUM,Evli,723.039
KAYSERİ,MEDENİ DURUM,Boşandı,55.614
KAYSERİ,MEDENİ DURUM,Eşi Öldü,65.730
KAYSERİ,EĞİTİM DURUMU,Okuma Yazma Bilmeyen,24.860
KAYSERİ,EĞİTİM DURUMU,Okuma Yazma Bilen Bir Okul Bitirmeyen,116.828
KAYSERİ,EĞİTİM DURUMU,İlkokul,292.018
KAYSERİ,EĞİTİM DURUMU,İlköğretim,85.243
KAYSERİ,EĞİTİM DURUMU,Ortaokul/ Dengi Meslek Okulu,236.810
KAYSERİ,EĞİTİM DURUMU,Lise/ Dengi Meslek Okulu,336.223
KAYSERİ,EĞİTİM DURUMU,Yüksekokul/ Fakülte,222.394
KAYSERİ,EĞİTİM DURUMU,Yüksek Lisans Ve Üzeri,31.346
KAYSERİ,HAYATİ İSTATİSTİKLER,Canlı Doğum Sayısı,15.326
KAYSERİ,HAYATİ İSTATİSTİKLER,Toplam Doğurganlık Hızı,"1,46"
KAYSERİ,HAYATİ İSTATİSTİKLER,Ölüm Sayısı,8.049
KAYSERİ,HAYATİ İSTATİSTİKLER,Boşanma Sayısı,3.895
KAYSERİ,HAYATİ İSTATİSTİKLER,Evlenme Sayısı,9.763
KAYSERİ,HAYATİ İSTATİSTİKLER,İlk Evlenme Yaşı(Erkek),28
KAYSERİ,HAYATİ İSTATİSTİKLER,İlk Evlenme Yaşı(Kadın),"25,6"
KAYSERİ,İSİM İSTATİSTİKLER,En Çok Verilen Erkek Bebek İsmi,ALPARSLAN
KAYSERİ,İSİM İSTATİSTİKLER,En Cok Verilen Kız Bebek İsmi,GÖKÇE
KAYSERİ,İSİM İSTATİSTİKLER,En Çok Kullanılan Erkek İsmi,MUSTAFA
KAYSERİ,İSİM İSTATİSTİKLER,En Çok Kullanılan Kadın İsmi,FATMA
